Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active
Switzerland,2020-04-01 21:58:34,17768,488,2967,14313
Syrian Arab Republic,2020-04-01 21:58:34,10,2,0,8
Taiwan,2020-04-01 10:56:33,329,5,39,285
Tanzania,2020-04-01 21:58:34,20,1,1,18
Thailand,2020-04-01 21:58:34,1771,12,505,1254
The Bahamas,2020-04-01 21:58:34,21,1,1,19
The Gambia,2020-04-01 21:58:34,4,1,2,1
Timor-Leste,2020-04-01 21:58:34,1,0,0,1
Togo,2020-04-01 21:58:34,36,2,10,24
Trinidad and Tobago,2020-04-01 21:58:34,90,5,1,84
Tunisia,2020-04-01 21:58:34,423,12,5,406
Turkey,2020-04-01 21:58:34,15679,277,333,15069
Uganda,2020-04-01 21:58:34,44,0,0,44
Ukraine,2020-04-01 21:58:34,794,20,13,761
United Arab Emirates,2020-04-01 21:58:34,814,8,61,745
United Kingdom,2020-04-01 21:58:34,2,0,0,2
United Kingdom,2020-04-01 21:58:34,32,0,10,22
United Kingdom,2020-04-01 21:58:34,3,0,0,3
United Kingdom,2020-04-01 21:58:34,22,1,0,21
United Kingdom,2020-04-01 21:58:34,172,3,0,169
United Kingdom,2020-04-01 21:58:34,81,0,34,47
United Kingdom,2020-04-01 21:58:34,68,1,0,67
United Kingdom,2020-04-01 21:58:34,5,0,0,5
United Kingdom,2020-04-01 21:58:34,6,0,0,6
United Kingdom,2020-04-01 21:58:34,29474,2352,135,26987
Uruguay,2020-04-01 21:58:34,338,2,41,295
US,2020-04-01 21:58:49,4,0,0,0
US,2020-04-01 21:58:49,47,1,0,0
US,2020-04-01 21:58:49,7,0,0,0
US,2020-04-01 21:58:49,195,3,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,8,0,0,0
US,2020-04-01 21:58:49,181,2,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,11,0,0,0
US,2020-04-01 21:58:49,4,0,0,0
US,2020-04-01 21:58:49,12,0,0,0
US,2020-04-01 21:58:49,14,0,0,0
US,2020-04-01 21:58:49,24,0,0,0
US,2020-04-01 21:58:49,18,1,0,0
US,2020-04-01 21:58:49,90,0,0,0
US,2020-04-01 21:58:49,7,0,0,0
US,2020-04-01 21:58:49,313,7,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,240,1,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,21,0,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,32,0,0,0
US,2020-04-01 21:58:49,7,1,0,0
US,2020-04-01 21:58:49,5,0,0,0
US,2020-04-01 21:58:49,10,1,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,356,2,0,0
US,2020-04-01 21:58:49,39,2,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,19,0,0,0
US,2020-04-01 21:58:49,6,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,5,0,0,0
US,2020-04-01 21:58:49,4,1,0,0
US,2020-04-01 21:58:49,65,1,0,0
US,2020-04-01 21:58:49,2,1,0,0
US,2020-04-01 21:58:49,47,2,0,0
US,2020-04-01 21:58:49,10,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,0,0,0,0
US,2020-04-01 21:58:49,11,0,0,0
US,2020-04-01 21:58:49,5,0,0,0
US,2020-04-01 21:58:49,158,1,0,0
US,2020-04-01 21:58:49,26,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,4,0,0,0
US,2020-04-01 21:58:49,33,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,0,0,0,0
US,2020-04-01 21:58:49,333,6,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,119,2,0,0
US,2020-04-01 21:58:49,5,0,0,0
US,2020-04-01 21:58:49,189,5,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,6,0,0,0
US,2020-04-01 21:58:49,25,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,3,1,0,0
US,2020-04-01 21:58:49,40,0,0,0
US,2020-04-01 21:58:49,11,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,8,0,0,0
US,2020-04-01 21:58:49,31,2,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,6,0,0,0
US,2020-04-01 21:58:49,9,0,0,0
US,2020-04-01 21:58:49,4,1,0,0
US,2020-04-01 21:58:49,20,1,0,0
US,2020-04-01 21:58:49,6,1,0,0
US,2020-04-01 21:58:49,289,1,0,0
US,2020-04-01 21:58:49,221,2,0,0
US,2020-04-01 21:58:49,4,0,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,4,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,255,3,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,20,2,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,13,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,144,4,0,0
US,2020-04-01 21:58:49,8,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,10,0,0,0
US,2020-04-01 21:58:49,10,0,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,21,1,0,0
US,2020-04-01 21:58:49,7,0,0,0
US,2020-04-01 21:58:49,101,2,0,0
US,2020-04-01 21:58:49,8,0,0,0
US,2020-04-01 21:58:49,54,2,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,4,0,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,12,0,0,0
US,2020-04-01 21:58:49,46,1,0,0
US,2020-04-01 21:58:49,11,0,0,0
US,2020-04-01 21:58:49,4,0,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,18,0,0,0
US,2020-04-01 21:58:49,39,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,7,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,4,0,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,13,1,0,0
US,2020-04-01 21:58:49,4,0,0,0
US,2020-04-01 21:58:49,108,7,0,0
US,2020-04-01 21:58:49,3494,75,0,0
US,2020-04-01 21:58:49,18,0,0,0
US,2020-04-01 21:58:49,21,0,0,0
US,2020-04-01 21:58:49,151,0,0,0
US,2020-04-01 21:58:49,183,4,0,0
US,2020-04-01 21:58:49,129,4,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,38,1,0,0
US,2020-04-01 21:58:49,6,0,0,0
US,2020-04-01 21:58:49,207,9,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,22,0,0,0
US,2020-04-01 21:58:49,6,1,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,7,0,0,0
US,2020-04-01 21:58:49,228,2,0,0
US,2020-04-01 21:58:49,4,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,5,0,0,0
US,2020-04-01 21:58:49,28,0,0,0
US,2020-04-01 21:58:49,9,0,0,0
US,2020-04-01 21:58:49,25,1,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,29,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,8,0,0,0
US,2020-04-01 21:58:49,66,1,0,0
US,2020-04-01 21:58:49,75,1,0,0
US,2020-04-01 21:58:49,6,0,0,0
US,2020-04-01 21:58:49,107,2,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,2,1,0,0
US,2020-04-01 21:58:49,9,1,0,0
US,2020-04-01 21:58:49,7,0,0,0
US,2020-04-01 21:58:49,4,0,0,0
US,2020-04-01 21:58:49,4,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,8,0,0,0
US,2020-04-01 21:58:49,4,0,0,0
US,2020-04-01 21:58:49,14,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,95,1,0,0
US,2020-04-01 21:58:49,63,3,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,38,0,0,0
US,2020-04-01 21:58:49,366,3,0,0
US,2020-04-01 21:58:49,18,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,42,3,0,0
US,2020-04-01 21:58:49,20,1,0,0
US,2020-04-01 21:58:49,1232,12,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,2,1,0,0
US,2020-04-01 21:58:49,4,0,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,11,0,0,0
US,2020-04-01 21:58:49,16,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,8,1,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,5,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,319,6,0,0
US,2020-04-01 21:58:49,7,1,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,6,1,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,22,1,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,8,0,0,0
US,2020-04-01 21:58:49,6,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,32,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,255,5,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,5,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,41,0,0,0
US,2020-04-01 21:58:49,64,2,0,0
US,2020-04-01 21:58:49,8,0,0,0
US,2020-04-01 21:58:49,0,0,0,0
US,2020-04-01 21:58:49,8,0,0,0
US,2020-04-01 21:58:49,47,1,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,7,0,0,0
US,2020-04-01 21:58:49,298,7,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,90,1,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,11,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,10,1,0,0
US,2020-04-01 21:58:49,23,0,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,3,1,0,0
US,2020-04-01 21:58:49,7,0,0,0
US,2020-04-01 21:58:49,17,0,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,18,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,4,0,0,0
US,2020-04-01 21:58:49,17,1,0,0
US,2020-04-01 21:58:49,289,3,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,26,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,8,0,0,0
US,2020-04-01 21:58:49,4,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,4,0,0,0
US,2020-04-01 21:58:49,24,1,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,53,1,0,0
US,2020-04-01 21:58:49,15,0,0,0
