Country_Region,French Name,Continent,Last_Update,Confirmed,Deaths,Recovered,Active
Sudan,Soudan,Afrique,,10,2,2,6
Suriname,Suriname,Amérique du Sud,,10,1,0,9
Sweden,Suède,Europe,,6443,373,205,5865
Switzerland,Suisse,Europe,,20505,666,6415,13424
Syrian Arab Republic,Syrie,Moyen-Orient,,16,2,2,12
Taiwan,Taiwan,Asie,,355,5,50,300
Tanzania,Tanzanie,Afrique,,20,1,3,16
Thailand,Thaïlande,Asie,,2067,20,674,1373
The Bahamas,Les Bahamas,Amérique Centrale,,28,4,0,24
The Gambia,Gambie,Afrique,,4,1,2,1
Timor-Leste,Timor Oriental,Asie,,1,0,0,1
Togo,Togo,Afrique,,41,3,17,21
Trinidad and Tobago,Trinidad et Tobago,Amérique Centrale,,103,6,1,96
Tunisia,Tunisie,Afrique,,553,18,5,530
Turkey,Turquie,Europe,,23934,501,786,22647
Uganda,Ouganda,Afrique,,48,0,0,48
Ukraine,Ukraine,Europe,,1225,32,25,1168
United Arab Emirates,Émirats Arabes Unis,Moyen-Orient,,1505,10,125,1370
United Kingdom,Royaume-Uni,Europe,,42477,4320,215,37942
United States of America,États-Unis,Amérique du Nord,,308850,8407,14652,285791
Uruguay,Uruguay,Amérique du Sud,,400,5,93,302
Uzbekistan,Ouzbékistan,Asie,,266,2,25,239
Vietnam,Vietnam,Asie,,240,0,90,150
West Bank and Gaza,Palestine,Moyen-Orient,,217,1,21,195
Zambia,Zambie,Afrique,,39,1,2,36
Zimbabwe,Zimbabwe,Afrique,,9,1,0,8
Republic of Serbia,Serbie,,2020-04-03 22:46:38,1624,44,0,1580
Slovakia,Slovaquie,,2020-04-03 22:46:39,471,1,10,460
Macedonia,Macédoine du Nord,,2020-04-03 22:46:40,483,17,20,446
