Country_Region,,,Last_Update,Confirmed,Deaths,Recovered,Active
Liberia,Liberia,Afrique,2020-03-24 23:37:15,3,0,0,3
Libya,Libye,Afrique,2020-03-24 23:37:15,1,0,0,1
Liechtenstein,Liechtenstein,Europe,2020-03-24 23:37:15,51,0,0,51
Lithuania,Lituanie,Europe,2020-03-24 23:37:15,209,2,1,206
Luxembourg,Luxembourg,Europe,2020-03-24 23:37:15,1099,8,6,1085
Madagascar,Madagascar,Afrique,2020-03-24 23:37:15,17,0,0,17
Malaysia,Malaisie,Asie,2020-03-24 23:37:15,1624,16,183,1425
Maldives,Maldives,Asie,2020-03-24 23:37:15,13,0,5,8
Malta,Malte,Europe,2020-03-24 23:37:15,110,0,2,108
Mauritania,Mauritanie,Afrique,2020-03-24 23:37:15,2,0,0,2
Mauritius,Maurice,Afrique,2020-03-24 23:37:15,42,2,0,40
Mexico,Mexique,Amérique du Nord,2020-03-24 23:37:15,367,4,4,359
Moldova,Moldavie,Asie,2020-03-24 23:37:15,125,1,2,122
Monaco,Monaco,Europe,2020-03-24 23:37:15,23,0,1,22
Mongolia,Mongolie,Asie,2020-03-24 23:37:15,10,0,0,10
Montenegro,Montenegro,Europe,2020-03-24 23:37:15,47,1,0,46
Morocco,Maroc,Afrique,2020-03-24 23:37:15,170,5,6,159
Mozambique,Mozambique,Afrique,2020-03-24 23:37:15,3,0,0,3
Namibia,Namibie,Afrique,2020-03-24 23:37:15,7,0,2,5
Nepal,Népal,Asie,2020-03-24 23:37:15,2,0,1,1
New Zealand,Nouvelle-Zélande,Océanie,2020-03-24 23:37:15,155,0,12,143
Nicaragua,Nicaragua,Amérique Centrale,2020-03-24 23:37:15,2,0,0,2
Niger,Niger,Afrique,2020-03-24 23:37:15,3,0,0,3
Nigeria,Nigeria,Afrique,2020-03-24 23:37:15,44,1,2,41
North Macedonia,Macédoine du Nord,Europe,2020-03-24 23:37:15,148,2,1,145
Norway,Norvège,Europe,2020-03-24 23:37:15,2863,12,6,2845
Oman,Oman,Moyen-Orient,2020-03-24 23:37:15,84,0,17,67
Pakistan,Pakistan,Asie,2020-03-24 23:37:15,972,7,18,947
Panama,Panama,Amérique Centrale,2020-03-24 23:37:15,345,6,1,338
Papua New Guinea,Papouasie Nouvelle Guinée,Océanie,2020-03-24 23:37:15,1,0,0,1
Paraguay,Paraguay,Amérique du Sud,2020-03-24 23:37:15,27,2,0,25
Peru,Pérou,Amérique du Sud,2020-03-24 23:37:15,416,7,1,408
Philippines,Philippines,Asie,2020-03-24 23:37:15,552,35,20,497
Poland,Pologne,Europe,2020-03-24 23:37:15,901,10,1,890
Portugal,Portugal,Europe,2020-03-24 23:37:15,2362,33,22,2307
Qatar,Qatar,Moyen-Orient,2020-03-24 23:37:15,526,0,41,485
R. B. de Venezuela,Venezuela,Amérique du Sud,2020-03-24 23:37:15,84,0,15,69
Republic of Korea,Corée du Sud,Asie,2020-03-24 23:37:15,9037,120,3507,5410
Romania,Roumanie,Europe,2020-03-24 23:37:15,794,11,79,704
Russian Federation,Russie,Asie,2020-03-24 23:37:15,495,1,22,472
Rwanda,Rwanda,Afrique,2020-03-24 23:37:15,40,0,0,40
Saint Lucia,Sainte Lucie,Amérique Centrale,2020-03-24 23:37:15,3,0,0,3
Saint Vincent and the Grenadines,Saint Vincent et les Grenadines,Amérique Centrale,2020-03-24 23:37:15,1,0,0,1
San Marino,Saint Marin,Europe,2020-03-24 23:37:15,187,21,4,162
Saudi Arabia,Arabie Saoudite,Moyen-Orient,2020-03-24 23:37:15,767,1,28,738
Senegal,Sénégal,Afrique,2020-03-24 23:37:15,86,0,8,78
Serbia,Serbie,Europe,2020-03-24 23:37:15,303,3,15,285
Seychelles,Seychelles,Asie,2020-03-24 23:37:15,7,0,0,7
Singapore,Singapour,Asie,2020-03-24 23:37:15,558,2,156,400
Slovak Republic,Slovaquie,Europe,2020-03-24 23:37:15,204,0,7,197
Slovenia,Slovénie,Europe,2020-03-24 23:37:15,480,4,3,473
Somalia,Somalie,Afrique,2020-03-24 23:37:15,1,0,0,1
South Africa,Afrique du Sud,Afrique,2020-03-24 23:37:15,554,0,4,550
Spain,Espagne,Europe,2020-03-24 23:37:15,39885,2808,3794,33283
Sri Lanka,Sri Lanka,Asie,2020-03-24 23:37:15,102,0,2,100
Sudan,Soudan,Afrique,2020-03-24 23:37:15,3,1,0,2
Suriname,Suriname,Amérique du Sud,2020-03-24 23:37:15,7,0,0,7
Sweden,Suède,Europe,2020-03-24 23:37:15,2286,36,16,2234
Switzerland,Suisse,Europe,2020-03-24 23:37:15,9877,122,131,9624
Syrian Arab Republic,Syrie,Moyen-Orient,2020-03-24 23:37:15,1,0,0,1
Taiwan,Taiwan,Asie,2020-03-24 07:38:21,215,2,29,184
Tanzania,Tanzanie,Afrique,2020-03-24 23:37:15,12,0,0,12
Thailand,Thaïlande,Asie,2020-03-24 23:37:15,827,4,52,771
The Bahamas,Les Bahamas,Amérique Centrale,2020-03-24 23:37:15,5,0,1,4
The Gambia,Gambie,Afrique,2020-03-24 23:37:15,3,1,0,2
Timor-Leste,Timor Oriental,Asie,2020-03-24 23:37:15,1,0,0,1
Togo,Togo,Afrique,2020-03-24 23:37:15,20,0,1,19
Trinidad and Tobago,Trinidad et Tobago,Amérique Centrale,2020-03-24 23:37:15,57,0,0,57
Tunisia,Tunisie,Afrique,2020-03-24 23:37:15,114,4,1,109
Turkey,Turquie,Europe,2020-03-24 23:37:15,1872,44,0,1828
Uganda,Ouganda,Afrique,2020-03-24 23:37:15,9,0,0,9
Ukraine,Ukraine,Europe,2020-03-24 23:37:15,97,3,1,93
United Arab Emirates,Émirats Arabes Unis,Moyen-Orient,2020-03-24 23:37:15,248,2,45,201
Uruguay,Uruguay,Amérique du Sud,2020-03-24 23:37:15,162,0,0,162
Uzbekistan,Ouzbékistan,Asie,2020-03-24 23:37:15,50,0,0,50
Vietnam,Vietnam,Asie,2020-03-24 23:37:15,134,0,17,117
Zambia,Zambie,Afrique,2020-03-24 23:37:15,3,0,0,3
Zimbabwe,Zimbabwe,Afrique,2020-03-24 23:37:15,3,1,0,2
