Country/Region,French Name,Continent,Last Update,Confirmed,Deaths,Recovered,Existing
Mauritius,Maurice,Afrique,2020-03-25 23:33:04,48,2,0,46
Mexico,Mexique,Amérique du Nord,2020-03-25 23:33:04,405,5,4,396
Moldova,Moldavie,Asie,2020-03-25 23:33:04,149,1,2,146
Monaco,Monaco,Europe,2020-03-25 23:33:04,31,0,1,30
Mongolia,Mongolie,Asie,2020-03-25 23:33:04,10,0,0,10
Montenegro,Montenegro,Europe,2020-03-25 23:33:04,52,1,0,51
Morocco,Maroc,Afrique,2020-03-25 23:33:04,225,6,7,212
Mozambique,Mozambique,Afrique,2020-03-25 23:33:04,5,0,0,5
Namibia,Namibie,Afrique,2020-03-25 23:33:04,7,0,2,5
Nepal,Népal,Asie,2020-03-25 23:33:04,3,0,1,2
New Zealand,Nouvelle-Zélande,Océanie,2020-03-25 23:33:04,205,0,22,183
Nicaragua,Nicaragua,Amérique Centrale,2020-03-25 23:33:04,2,0,0,2
Niger,Niger,Afrique,2020-03-25 23:33:04,7,1,0,6
Nigeria,Nigeria,Afrique,2020-03-25 23:33:04,51,1,2,48
North Macedonia,Macédoine du Nord,Europe,2020-03-25 23:33:04,177,3,1,173
Norway,Norvège,Europe,2020-03-25 23:33:04,3084,14,6,3064
Oman,Oman,Moyen-Orient,2020-03-25 23:33:04,99,0,17,82
Pakistan,Pakistan,Asie,2020-03-25 23:33:04,1063,8,21,1034
Panama,Panama,Amérique Centrale,2020-03-25 23:33:04,443,8,1,434
Papua New Guinea,Papouasie Nouvelle Guinée,Océanie,2020-03-25 23:33:04,1,0,0,1
Paraguay,Paraguay,Amérique du Sud,2020-03-25 23:33:04,37,3,0,34
Peru,Pérou,Amérique du Sud,2020-03-25 23:33:04,480,9,1,470
Philippines,Philippines,Asie,2020-03-25 23:33:04,636,38,26,572
Poland,Pologne,Europe,2020-03-25 23:33:04,1051,14,7,1030
Portugal,Portugal,Europe,2020-03-25 23:33:04,2995,43,22,2930
Qatar,Qatar,Moyen-Orient,2020-03-25 23:33:04,537,0,41,496
R. B. de Venezuela,Venezuela,Amérique du Sud,2020-03-25 23:33:04,91,0,15,76
Republic of Korea,Corée du Sud,Asie,2020-03-25 23:33:04,9137,126,3730,5281
Romania,Roumanie,Europe,2020-03-25 23:33:04,906,17,86,803
Russian Federation,Russie,Asie,2020-03-25 23:33:04,658,3,29,626
Rwanda,Rwanda,Afrique,2020-03-25 23:33:04,41,0,0,41
Saint Kitts and Nevis,Saint-Christophe-et-Niévès,Amérique Centrale,2020-03-25 23:33:04,2,0,0,2
Saint Lucia,Sainte Lucie,Amérique Centrale,2020-03-25 23:33:04,3,0,0,3
Saint Vincent and the Grenadines,Saint Vincent et les Grenadines,Amérique Centrale,2020-03-25 23:33:04,1,0,0,1
San Marino,Saint Marin,Europe,2020-03-25 23:33:04,208,21,4,183
Saudi Arabia,Arabie Saoudite,Moyen-Orient,2020-03-25 23:33:04,900,2,29,869
Senegal,Sénégal,Afrique,2020-03-25 23:33:04,99,0,9,90
Serbia,Serbie,Europe,2020-03-25 23:33:04,384,4,15,365
Seychelles,Seychelles,Asie,2020-03-25 23:33:04,7,0,0,7
Singapore,Singapour,Asie,2020-03-25 23:33:04,631,2,160,469
Slovak Republic,Slovaquie,Europe,2020-03-25 23:33:04,216,0,7,209
Slovenia,Slovénie,Europe,2020-03-25 23:33:04,528,5,10,513
Somalia,Somalie,Afrique,2020-03-25 23:33:04,1,0,0,1
South Africa,Afrique du Sud,Afrique,2020-03-25 23:33:04,709,0,12,697
Spain,Espagne,Europe,2020-03-25 23:33:04,49515,3647,5367,40501
Sri Lanka,Sri Lanka,Asie,2020-03-25 23:33:04,102,0,3,99
Sudan,Soudan,Afrique,2020-03-25 23:33:04,3,1,0,2
Suriname,Suriname,Amérique du Sud,2020-03-25 23:33:04,8,0,0,8
Sweden,Suède,Europe,2020-03-25 23:33:04,2526,62,16,2448
Switzerland,Suisse,Europe,2020-03-25 23:33:04,10897,153,131,10613
Syrian Arab Republic,Syrie,Moyen-Orient,2020-03-25 23:33:04,5,0,0,5
Taiwan,Taiwan,Asie,2020-03-25 08:02:14,235,2,29,204
Tanzania,Tanzanie,Afrique,2020-03-25 23:33:04,12,0,0,12
Thailand,Thaïlande,Asie,2020-03-25 23:33:04,934,4,70,860
The Bahamas,Les Bahamas,Amérique Centrale,2020-03-25 23:33:04,5,0,1,4
The Gambia,Gambie,Afrique,2020-03-25 23:33:04,3,1,0,2
Timor-Leste,Timor Oriental,Asie,2020-03-25 23:33:04,1,0,0,1
Togo,Togo,Afrique,2020-03-25 23:33:04,23,0,1,22
Trinidad and Tobago,Trinidad et Tobago,Amérique Centrale,2020-03-25 23:33:04,60,1,0,59
Tunisia,Tunisie,Afrique,2020-03-25 23:33:04,173,5,2,166
Turkey,Turquie,Europe,2020-03-25 23:33:04,2433,59,26,2348
Uganda,Ouganda,Afrique,2020-03-25 23:33:04,14,0,0,14
Ukraine,Ukraine,Europe,2020-03-25 23:33:04,145,5,1,139
United Arab Emirates,Émirats Arabes Unis,Moyen-Orient,2020-03-25 23:33:04,333,2,52,279
Uruguay,Uruguay,Amérique du Sud,2020-03-25 23:33:04,189,0,0,189
Uzbekistan,Ouzbékistan,Asie,2020-03-25 23:33:04,60,0,0,60
Vietnam,Vietnam,Asie,2020-03-25 23:33:04,141,0,17,124
Zambia,Zambie,Afrique,2020-03-25 23:33:04,12,0,0,12
Zimbabwe,Zimbabwe,Afrique,2020-03-25 23:33:04,3,1,0,2
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
